SPENDING DATA FOR THE MONTH OF SEPTEMBER,,
ITEM,CREDIT,DEBIT
mobile data,,1500
wife,,35000
transfer,,1500
gift,,1000
gift,,5000
foodco,,4250
snacks,,3500
Salary,210130,
launch,,4000
dinner,,2500
dinner,,2500
mobile data,,1500
self transfer,9000,
dinner,,3000
self transfer,9999,
airtime,,150
foodco,,3970
airtime,,500
mobile data,,1663
self transfer,4900,
airtime,,200
transport,,9700
self transfer,7250,
grocery,,1500
mobile data,,750
dinner,,2000
snacks,,1600
airtime,,200
airtime,,200
grocery,,9999
transport,,5000
gift,,6000
launch,,3000
dinner,,3000
airtime,,200
foodco,,1000
dinner,,2300
wife,,35000
debt repayment,,2000
wife,,9999
transfer,,15000
self,101000,
airtime,,200
airtime,,200
gift,,2000
airtime,,300
